week_start,Mode,subway_rides
2024-09-05,Subway,4033322.0
2024-09-04,Subway,3868854.0
2024-09-03,Subway,3629404.0
2024-09-02,Subway,2007446.0
2024-09-01,Subway,1969350.0
2024-08-31,Subway,2158004.0
2024-08-30,Subway,3152242.0
2024-08-29,Subway,3438760.0
2024-08-28,Subway,3516674.0
2024-08-27,Subway,3477101.0
2024-08-26,Subway,3113498.0
2024-08-25,Subway,1905818.0
2024-08-24,Subway,2332624.0
2024-08-23,Subway,3209666.0
2024-08-22,Subway,3427911.0
2024-08-21,Subway,3498651.0
2024-08-20,Subway,3475888.0
2024-08-19,Subway,3076559.0
2024-08-18,Subway,1713050.0
2024-08-17,Subway,2256233.0
2024-08-16,Subway,3198733.0
2024-08-15,Subway,3495671.0
2024-08-14,Subway,3544668.0
2024-08-13,Subway,3491612.0
2024-08-12,Subway,3169180.0
2024-08-11,Subway,1918748.0
2024-08-10,Subway,2356405.0
2024-08-09,Subway,3041276.0
2024-08-08,Subway,3490217.0
2024-08-07,Subway,3511253.0
2024-08-06,Subway,3462581.0
2024-08-05,Subway,3222601.0
2024-08-04,Subway,1752861.0
2024-08-03,Subway,2200373.0
2024-08-02,Subway,3153955.0
2024-08-01,Subway,3544663.0
2024-07-31,Subway,3576343.0
2024-07-30,Subway,3590241.0
2024-07-29,Subway,3202281.0
2024-07-28,Subway,1851383.0
2024-07-27,Subway,2306948.0
2024-07-26,Subway,3288849.0
2024-07-25,Subway,3638351.0
2024-07-24,Subway,3656472.0
2024-07-23,Subway,3606656.0
2024-07-22,Subway,3235343.0
2024-07-21,Subway,1877704.0
2024-07-20,Subway,2269647.0
2024-07-19,Subway,3372874.0
2024-07-18,Subway,3637826.0
2024-07-17,Subway,3651756.0
2024-07-16,Subway,3594150.0
2024-07-15,Subway,3259800.0
2024-07-14,Subway,1869670.0
2024-07-13,Subway,2203283.0
2024-07-12,Subway,3261074.0
2024-07-11,Subway,3688029.0
2024-07-10,Subway,3691835.0
2024-07-09,Subway,3605032.0
2024-07-08,Subway,3228784.0
2024-07-07,Subway,1804572.0
2024-07-06,Subway,2100877.0
2024-07-05,Subway,2700734.0
2024-07-04,Subway,1992244.0
2024-07-03,Subway,3409357.0
2024-07-02,Subway,3542073.0
2024-07-01,Subway,3273546.0
2024-06-30,Subway,2002269.0
2024-06-29,Subway,2454997.0
2024-06-28,Subway,3522732.0
2024-06-27,Subway,3776811.0
2024-06-26,Subway,3901100.0
2024-06-25,Subway,3831447.0
2024-06-24,Subway,3467845.0
2024-06-23,Subway,1908786.0
2024-06-22,Subway,2385207.0
2024-06-21,Subway,3500365.0
2024-06-20,Subway,3857797.0
2024-06-19,Subway,3046320.0
2024-06-18,Subway,3920839.0
2024-06-17,Subway,3325104.0
2024-06-16,Subway,1897201.0
2024-06-15,Subway,2431810.0
2024-06-14,Subway,3517062.0
2024-06-13,Subway,3936941.0
2024-06-12,Subway,3977760.0
2024-06-11,Subway,3995425.0
2024-06-10,Subway,3702212.0
2024-06-09,Subway,2134551.0
2024-06-08,Subway,2673220.0
2024-06-07,Subway,3752412.0
2024-06-06,Subway,3774324.0
2024-06-05,Subway,4051943.0
2024-06-04,Subway,3979793.0
2024-06-03,Subway,3611491.0
2024-06-02,Subway,1978037.0
2024-06-01,Subway,2446153.0
2024-05-31,Subway,3688627.0
2024-05-30,Subway,3979959.0
2024-05-29,Subway,4006764.0
2024-05-28,Subway,3825781.0
2024-05-27,Subway,1667890.0
2024-05-26,Subway,2019012.0
2024-05-25,Subway,2347159.0
2024-05-24,Subway,3583244.0
2024-05-23,Subway,3863099.0
2024-05-22,Subway,4104021.0
2024-05-21,Subway,4029557.0
2024-05-20,Subway,3682061.0
2024-05-19,Subway,2121485.0
2024-05-18,Subway,2691368.0
2024-05-17,Subway,3816914.0
2024-05-16,Subway,4105026.0
2024-05-15,Subway,4114615.0
2024-05-14,Subway,4116655.0
2024-05-13,Subway,3703066.0
2024-05-12,Subway,1858872.0
2024-05-11,Subway,2648580.0
2024-05-10,Subway,3677268.0
2024-05-09,Subway,4086528.0
2024-05-08,Subway,4087477.0
2024-05-07,Subway,4098321.0
2024-05-06,Subway,3652105.0
2024-05-05,Subway,1889174.0
2024-05-04,Subway,2563658.0
2024-05-03,Subway,3780888.0
2024-05-02,Subway,4061242.0
2024-05-01,Subway,4032791.0
2024-04-30,Subway,3638986.0
2024-04-29,Subway,3323706.0
2024-04-28,Subway,2084950.0
2024-04-27,Subway,2506779.0
2024-04-26,Subway,3431590.0
2024-04-25,Subway,3723894.0
2024-04-24,Subway,3608010.0
2024-04-23,Subway,3522218.0
2024-04-22,Subway,3219677.0
2024-04-21,Subway,1918237.0
2024-04-20,Subway,2537525.0
2024-04-19,Subway,3705782.0
2024-04-18,Subway,3966226.0
2024-04-17,Subway,4021256.0
2024-04-16,Subway,4033514.0
2024-04-15,Subway,3704177.0
2024-04-14,Subway,2068885.0
2024-04-13,Subway,2535112.0
2024-04-12,Subway,3668439.0
2024-04-11,Subway,4000485.0
2024-04-10,Subway,3791945.0
2024-04-09,Subway,4042674.0
2024-04-08,Subway,3506719.0
2024-04-07,Subway,1899641.0
2024-04-06,Subway,2477127.0
2024-04-05,Subway,3800800.0
2024-04-04,Subway,4100733.0
2024-04-03,Subway,3890305.0
2024-04-02,Subway,3900061.0
2024-04-01,Subway,3321989.0
2024-03-31,Subway,1936295.0
2024-03-30,Subway,2526569.0
2024-03-29,Subway,3372535.0
2024-03-28,Subway,3910547.0
2024-03-27,Subway,4014011.0
2024-03-26,Subway,3969793.0
2024-03-25,Subway,3583716.0
2024-03-24,Subway,1912946.0
2024-03-23,Subway,1863863.0
2024-03-22,Subway,3581959.0
2024-03-21,Subway,3862248.0
2024-03-20,Subway,3886104.0
2024-03-19,Subway,3869116.0
2024-03-18,Subway,3482565.0
2024-03-17,Subway,1972170.0
2024-03-16,Subway,2553056.0
2024-03-15,Subway,3643013.0
2024-03-14,Subway,4049186.0
2024-03-13,Subway,4024943.0
2024-03-12,Subway,3988438.0
2024-03-11,Subway,3497588.0
2024-03-10,Subway,1803578.0
2024-03-09,Subway,2128635.0
2024-03-08,Subway,3685219.0
2024-03-07,Subway,3893731.0
2024-03-06,Subway,3865589.0
2024-03-05,Subway,3819514.0
2024-03-04,Subway,3539671.0
2024-03-03,Subway,1961510.0
2024-03-02,Subway,2094029.0
2024-03-01,Subway,3573658.0
2024-02-29,Subway,3905888.0
2024-02-28,Subway,3784177.0
2024-02-27,Subway,3802458.0
2024-02-26,Subway,3439079.0
2024-02-25,Subway,1740477.0
2024-02-24,Subway,2308808.0
2024-02-23,Subway,3219121.0
2024-02-22,Subway,3588173.0
2024-02-21,Subway,3591484.0
2024-02-20,Subway,3490990.0
2024-02-19,Subway,2244741.0
2024-02-18,Subway,1850840.0
2024-02-17,Subway,2178047.0
2024-02-16,Subway,3504536.0
2024-02-15,Subway,3874860.0
2024-02-14,Subway,3963628.0
2024-02-13,Subway,2273584.0
2024-02-12,Subway,3374596.0
2024-02-11,Subway,1774698.0
2024-02-10,Subway,2385448.0
2024-02-09,Subway,3547321.0
2024-02-08,Subway,3903673.0
2024-02-07,Subway,3900992.0
2024-02-06,Subway,3857533.0
2024-02-05,Subway,3481777.0
2024-02-04,Subway,1742107.0
2024-02-03,Subway,2324038.0
2024-02-02,Subway,3457807.0
2024-02-01,Subway,3814682.0
2024-01-31,Subway,3808584.0
2024-01-30,Subway,3717520.0
2024-01-29,Subway,3297571.0
2024-01-28,Subway,1549077.0
2024-01-27,Subway,2283244.0
2024-01-26,Subway,3380816.0
2024-01-25,Subway,3681867.0
2024-01-24,Subway,3666907.0
2024-01-23,Subway,3652488.0
2024-01-22,Subway,3305387.0
2024-01-21,Subway,1576126.0
2024-01-20,Subway,2024041.0
2024-01-19,Subway,3176408.0
2024-01-18,Subway,3655850.0
2024-01-17,Subway,3616923.0
2024-01-16,Subway,3235935.0
2024-01-15,Subway,2169917.0
2024-01-14,Subway,1743556.0
2024-01-13,Subway,2167383.0
2024-01-12,Subway,3365791.0
2024-01-11,Subway,3688916.0
2024-01-10,Subway,3557166.0
2024-01-09,Subway,3353192.0
2024-01-08,Subway,3303727.0
2024-01-07,Subway,1472438.0
2024-01-06,Subway,1942458.0
2024-01-05,Subway,3263064.0
2024-01-04,Subway,3560703.0
2024-01-03,Subway,3555082.0
2024-01-02,Subway,3290639.0
2024-01-01,Subway,1648734.0
2023-12-31,Subway,1934651.0
2023-12-30,Subway,2440211.0
2023-12-29,Subway,3198885.0
2023-12-28,Subway,3064841.0
2023-12-27,Subway,2912007.0
2023-12-26,Subway,2668642.0
2023-12-25,Subway,1273729.0
2023-12-24,Subway,1657096.0
2023-12-23,Subway,2244175.0
2023-12-22,Subway,3372318.0
2023-12-21,Subway,3675448.0
2023-12-20,Subway,3838407.0
2023-12-19,Subway,3912934.0
2023-12-18,Subway,3314782.0
2023-12-17,Subway,1954707.0
2023-12-16,Subway,2866544.0
2023-12-15,Subway,3845234.0
2023-12-14,Subway,4122091.0
2023-12-13,Subway,4067457.0
2023-12-12,Subway,4051574.0
2023-12-11,Subway,3642743.0
2023-12-10,Subway,1838048.0
2023-12-09,Subway,2922085.0
2023-12-08,Subway,3863961.0
2023-12-07,Subway,4088438.0
2023-12-06,Subway,4116059.0
2023-12-05,Subway,3991835.0
2023-12-04,Subway,3709458.0
2023-12-03,Subway,1827959.0
2023-12-02,Subway,2748170.0
2023-12-01,Subway,3723171.0
2023-11-30,Subway,4072271.0
2023-11-29,Subway,4032882.0
2023-11-28,Subway,3916476.0
2023-11-27,Subway,3523494.0
2023-11-26,Subway,1686490.0
2023-11-25,Subway,2123590.0
2023-11-24,Subway,2457591.0
2023-11-23,Subway,1628385.0
2023-11-22,Subway,3378351.0
2023-11-21,Subway,3774952.0
2023-11-20,Subway,3647283.0
2023-11-19,Subway,1943926.0
2023-11-18,Subway,2477547.0
2023-11-17,Subway,3741391.0
2023-11-16,Subway,4048862.0
2023-11-15,Subway,4036442.0
2023-11-14,Subway,3991767.0
2023-11-13,Subway,3597029.0
2023-11-12,Subway,1947270.0
2023-11-11,Subway,2588540.0
2023-11-10,Subway,3611367.0
2023-11-09,Subway,4020939.0
2023-11-08,Subway,4066029.0
2023-11-07,Subway,3655078.0
2023-11-06,Subway,3686141.0
2023-11-05,Subway,2310457.0
2023-11-04,Subway,2588115.0
2023-11-03,Subway,3808235.0
2023-11-02,Subway,4082807.0
2023-11-01,Subway,4043524.0
2023-10-31,Subway,4016482.0
2023-10-30,Subway,3623778.0
2023-10-29,Subway,1834459.0
2023-10-28,Subway,2743759.0
2023-10-27,Subway,3853546.0
2023-10-26,Subway,4142420.0
2023-10-25,Subway,4120011.0
2023-10-24,Subway,4040571.0
2023-10-23,Subway,3667240.0
2023-10-22,Subway,1983271.0
2023-10-21,Subway,2438387.0
2023-10-20,Subway,3616336.0
2023-10-19,Subway,4121563.0
2023-10-18,Subway,4074460.0
2023-10-17,Subway,4021342.0
2023-10-16,Subway,3661144.0
2023-10-15,Subway,2013096.0
2023-10-14,Subway,2219786.0
2023-10-13,Subway,3560964.0
2023-10-12,Subway,4104598.0
2023-10-11,Subway,4056504.0
2023-10-10,Subway,3954925.0
2023-10-09,Subway,2833654.0
2023-10-08,Subway,2044534.0
2023-10-07,Subway,2199478.0
2023-10-06,Subway,3639729.0
2023-10-05,Subway,4030304.0
2023-10-04,Subway,4026878.0
2023-10-03,Subway,4008201.0
2023-10-02,Subway,3649389.0
2023-10-01,Subway,1995361.0
2023-09-30,Subway,2205573.0
2023-09-29,Subway,2467295.0
2023-09-28,Subway,4051444.0
2023-09-27,Subway,4074930.0
2023-09-26,Subway,3946624.0
2023-09-25,Subway,2885921.0
2023-09-24,Subway,1701656.0
2023-09-23,Subway,2116140.0
2023-09-22,Subway,3840412.0
2023-09-21,Subway,4139288.0
2023-09-20,Subway,4179861.0
2023-09-19,Subway,4140301.0
2023-09-18,Subway,3539047.0
2023-09-17,Subway,1988003.0
2023-09-16,Subway,2446139.0
2023-09-15,Subway,3694845.0
2023-09-14,Subway,4045169.0
2023-09-13,Subway,3938516.0
2023-09-12,Subway,4014480.0
2023-09-11,Subway,3596538.0
2023-09-10,Subway,1822230.0
2023-09-09,Subway,2425515.0
2023-09-08,Subway,3609701.0
2023-09-07,Subway,3867746.0
2023-09-06,Subway,3712071.0
2023-09-05,Subway,3483755.0
2023-09-04,Subway,1879819.0
2023-09-03,Subway,2013506.0
2023-09-02,Subway,2307416.0
2023-09-01,Subway,3196284.0
2023-08-31,Subway,3450532.0
2023-08-30,Subway,3462970.0
2023-08-29,Subway,3401088.0
2023-08-28,Subway,3121505.0
2023-08-27,Subway,1909806.0
2023-08-26,Subway,2281885.0
2023-08-25,Subway,3034255.0
2023-08-24,Subway,3297927.0
2023-08-23,Subway,3412842.0
2023-08-22,Subway,3352769.0
2023-08-21,Subway,2971166.0
2023-08-20,Subway,1870625.0
2023-08-19,Subway,2358962.0
2023-08-18,Subway,3182516.0
2023-08-17,Subway,3385056.0
2023-08-16,Subway,3447648.0
2023-08-15,Subway,3385996.0
