pickup_date,total_trips
2021-04-04,46310.0
2021-04-05,62955.0
2021-04-06,70472.0
2021-04-07,74662.0
2021-04-08,77611.0
2021-04-09,78827.0
2021-04-10,68688.0
2021-04-11,47584.0
2021-04-12,70272.0
2021-04-13,74244.0
2021-04-14,77299.0
2021-04-15,80429.0
2021-04-16,82456.0
2021-04-17,74101.0
2021-04-18,54143.0
2021-04-19,67688.0
2021-04-20,78724.0
2021-04-21,79367.0
2021-04-22,84344.0
2021-04-23,84623.0
2021-04-24,78858.0
2021-04-25,49330.0
2021-04-26,70215.0
2021-04-27,76481.0
2021-04-28,83553.0
2021-04-29,82210.0
2021-04-30,89141.0
2021-05-01,80717.0
2021-05-02,60957.0
2021-05-03,75261.0
2021-05-04,80894.0
2021-05-05,87029.0
2021-05-06,88472.0
2021-05-07,92383.0
2021-05-08,80021.0
2021-05-09,64461.0
2021-05-10,74390.0
2021-05-11,83498.0
2021-05-12,86867.0
2021-05-13,82527.0
2021-05-14,92518.0
2021-05-15,88865.0
2021-05-16,66387.0
2021-05-17,74097.0
2021-05-18,84772.0
2021-05-19,90733.0
2021-05-20,92695.0
2021-05-21,94927.0
2021-05-22,93359.0
2021-05-23,71494.0
2021-05-24,81403.0
2021-05-25,88685.0
2021-05-26,93364.0
2021-05-27,92466.0
2021-05-28,87929.0
2021-05-29,64946.0
2021-05-30,54240.0
2021-05-31,56720.0
2021-06-01,86021.0
2021-06-02,92571.0
2021-06-03,96504.0
2021-06-04,95589.0
2021-06-05,97983.0
2021-06-06,77634.0
2021-06-07,88869.0
2021-06-08,94675.0
2021-06-09,99484.0
2021-06-10,103982.0
2021-06-11,98321.0
2021-06-12,93963.0
2021-06-13,73784.0
2021-06-14,86939.0
2021-06-15,98038.0
2021-06-16,102175.0
2021-06-17,102964.0
2021-06-18,98994.0
2021-06-19,96406.0
2021-06-20,77945.0
2021-06-21,90870.0
2021-06-22,99019.0
2021-06-23,102895.0
2021-06-24,104639.0
2021-06-25,103294.0
2021-06-26,98690.0
2021-06-27,77379.0
2021-06-28,91543.0
2021-06-29,101112.0
2021-06-30,101923.0
2021-07-01,93848.0
2021-07-02,87546.0
2021-07-03,71122.0
2021-07-04,60544.0
2021-07-05,64728.0
2021-07-06,89457.0
2021-07-07,97200.0
2021-07-08,94581.0
2021-07-09,93585.0
2021-07-10,93833.0
2021-07-11,75946.0
2021-07-12,84894.0
2021-07-13,96611.0
2021-07-14,104639.0
2021-07-15,106008.0
2021-07-16,102924.0
2021-07-17,95242.0
2021-07-18,77384.0
2021-07-19,88980.0
2021-07-20,92433.0
2021-07-21,98271.0
2021-07-22,103940.0
2021-07-23,99049.0
2021-07-24,93266.0
2021-07-25,75580.0
2021-07-26,89132.0
2021-07-27,99360.0
2021-07-28,99702.0
2021-07-29,99762.0
2021-07-30,99162.0
2021-07-31,93384.0
2021-08-01,73086.0
2021-08-02,83305.0
2021-08-03,93910.0
2021-08-04,97778.0
2021-08-05,99331.0
2021-08-06,97852.0
2021-08-07,90630.0
2021-08-08,74449.0
2021-08-09,83049.0
2021-08-10,96402.0
2021-08-11,100816.0
2021-08-12,99203.0
2021-08-13,99126.0
2021-08-14,91550.0
2021-08-15,76813.0
2021-08-16,82197.0
2021-08-17,91749.0
2021-08-18,95926.0
2021-08-19,99488.0
2021-08-20,99268.0
2021-08-21,98613.0
2021-08-22,53247.0
2021-08-23,80802.0
2021-08-24,93733.0
2021-08-25,98428.0
2021-08-26,101124.0
2021-08-27,96582.0
2021-08-28,89008.0
2021-08-29,73010.0
2021-08-30,84107.0
2021-08-31,93718.0
2021-09-01,88185.0
2021-09-02,93100.0
2021-09-03,95630.0
2021-09-04,88527.0
2021-09-05,74209.0
2021-09-06,71712.0
2021-09-07,88673.0
2021-09-08,102042.0
2021-09-09,105817.0
2021-09-10,109813.0
2021-09-11,107560.0
2021-09-12,87232.0
2021-09-13,95735.0
2021-09-14,102209.0
2021-09-15,106884.0
2021-09-16,102456.0
2021-09-17,110693.0
2021-09-18,111362.0
2021-09-19,88272.0
2021-09-20,92218.0
2021-09-21,99871.0
2021-09-22,105877.0
2021-09-23,104169.0
2021-09-24,109419.0
2021-09-25,112977.0
2021-09-26,91222.0
2021-09-27,93752.0
2021-09-28,100970.0
2021-09-29,108179.0
2021-09-30,115013.0
2021-10-01,117104.0
2021-10-02,115086.0
2021-10-03,91230.0
2021-10-04,96858.0
2021-10-05,106648.0
2021-10-06,113020.0
2021-10-07,118556.0
2021-10-08,120242.0
2021-10-09,116817.0
2021-10-10,93850.0
2021-10-11,86890.0
2021-10-12,108057.0
2021-10-13,112723.0
2021-10-14,121767.0
2021-10-15,124091.0
2021-10-16,121955.0
2021-10-17,100790.0
2021-10-18,103856.0
2021-10-19,110716.0
2021-10-20,119077.0
2021-10-21,122809.0
2021-10-22,122858.0
2021-10-23,119757.0
2021-10-24,98929.0
2021-10-25,99949.0
2021-10-26,101866.0
2021-10-27,119847.0
2021-10-28,125607.0
2021-10-29,130631.0
2021-10-30,119589.0
2021-10-31,102310.0
2021-11-01,106500.0
2021-11-02,115847.0
2021-11-03,121839.0
2021-11-04,127917.0
2021-11-05,129921.0
2021-11-06,131460.0
2021-11-07,100647.0
2021-11-08,106822.0
2021-11-09,118745.0
2021-11-10,126617.0
2021-11-11,123715.0
2021-11-12,128010.0
2021-11-13,132310.0
2021-11-14,109696.0
2021-11-15,114815.0
2021-11-16,122702.0
2021-11-17,126605.0
2021-11-18,133377.0
2021-11-19,135462.0
2021-11-20,131453.0
2021-11-21,105078.0
2021-11-22,112469.0
2021-11-23,120235.0
2021-11-24,108411.0
2021-11-25,70312.0
2021-11-26,89887.0
2021-11-27,104505.0
2021-11-28,90990.0
2021-11-29,107130.0
2021-11-30,119420.0
2021-12-01,122007.0
2021-12-02,128647.0
2021-12-03,136231.0
2021-12-04,132392.0
2021-12-05,109654.0
2021-12-06,112665.0
2021-12-07,126649.0
2021-12-08,131663.0
2021-12-09,134724.0
2021-12-10,133497.0
2021-12-11,130247.0
2021-12-12,107167.0
2021-12-13,111299.0
2021-12-14,120218.0
2021-12-15,125053.0
2021-12-16,126270.0
2021-12-17,124147.0
2021-12-18,110282.0
2021-12-19,91202.0
2021-12-20,94213.0
2021-12-21,93095.0
2021-12-22,91699.0
2021-12-23,87850.0
2021-12-24,69619.0
2021-12-25,40807.0
2021-12-26,54705.0
2021-12-27,69897.0
2021-12-28,75037.0
2021-12-29,74989.0
2021-12-30,77968.0
2021-12-31,70426.0
2022-01-01,63454.0
2022-01-02,58421.0
2022-01-03,72408.0
2022-01-04,74562.0
2022-01-05,74592.0
2022-01-06,79909.0
2022-01-07,71590.0
2022-01-08,83179.0
2022-01-09,64017.0
2022-01-10,73692.0
2022-01-11,77606.0
2022-01-12,80352.0
2022-01-13,84952.0
2022-01-14,93817.0
2022-01-15,88704.0
2022-01-16,72783.0
2022-01-17,63521.0
2022-01-18,84603.0
2022-01-19,86640.0
2022-01-20,90778.0
2022-01-21,101054.0
2022-01-22,96590.0
2022-01-23,76914.0
2022-01-24,78542.0
2022-01-25,87349.0
2022-01-26,96747.0
2022-01-27,99766.0
2022-01-28,95873.0
2022-01-29,34388.0
2022-01-30,71234.0
2022-01-31,85899.0
2022-02-01,92360.0
2022-02-02,92576.0
2022-02-03,104562.0
2022-02-04,110309.0
2022-02-05,116980.0
2022-02-06,88141.0
2022-02-07,88869.0
2022-02-08,102781.0
2022-02-09,106089.0
2022-02-10,112804.0
2022-02-11,117752.0
2022-02-12,119686.0
2022-02-13,93022.0
2022-02-14,110542.0
2022-02-15,110484.0
2022-02-16,110268.0
2022-02-17,113142.0
2022-02-18,116275.0
2022-02-19,114374.0
2022-02-20,95334.0
2022-02-21,85871.0
2022-02-22,101396.0
2022-02-23,112205.0
2022-02-24,119890.0
2022-02-25,118228.0
2022-02-26,123056.0
2022-02-27,100167.0
2022-02-28,102266.0
2022-03-01,113959.0
2022-03-02,119863.0
2022-03-03,129290.0
2022-03-04,128505.0
2022-03-05,120368.0
2022-03-06,95853.0
2022-03-07,99695.0
2022-03-08,117165.0
2022-03-09,120057.0
2022-03-10,124861.0
2022-03-11,129455.0
2022-03-12,121777.0
2022-03-13,100134.0
2022-03-14,98695.0
2022-03-15,112732.0
2022-03-16,119733.0
2022-03-17,116634.0
2022-03-18,128278.0
2022-03-19,120655.0
2022-03-20,100169.0
2022-03-21,100551.0
2022-03-22,113333.0
2022-03-23,122056.0
2022-03-24,124345.0
2022-03-25,124059.0
2022-03-26,127324.0
2022-03-27,107222.0
2022-03-28,112277.0
2022-03-29,123866.0
2022-03-30,126442.0
2022-03-31,128538.0
2022-04-01,135560.0
2022-04-02,127960.0
2022-04-03,104450.0
2022-04-04,109726.0
2022-04-05,121968.0
2022-04-06,124765.0
2022-04-07,129116.0
2022-04-08,130708.0
2022-04-09,128585.0
2022-04-10,109767.0
2022-04-11,107538.0
2022-04-12,117812.0
2022-04-13,122117.0
2022-04-14,128182.0
2022-04-15,121835.0
2022-04-16,115280.0
2022-04-17,96306.0
2022-04-18,103235.0
2022-04-19,118539.0
2022-04-20,121534.0
2022-04-21,127415.0
2022-04-22,128247.0
2022-04-23,124414.0
2022-04-24,103937.0
2022-04-25,106623.0
2022-04-26,120156.0
2022-04-27,127674.0
2022-04-28,129292.0
2022-04-29,129113.0
2022-04-30,128048.0
2022-05-01,100240.0
2022-05-02,95618.0
2022-05-03,120456.0
2022-05-04,125434.0
2022-05-05,131774.0
2022-05-06,128036.0
2022-05-07,118187.0
2022-05-08,103578.0
2022-05-09,107893.0
2022-05-10,121334.0
2022-05-11,127614.0
2022-05-12,133017.0
2022-05-13,129999.0
2022-05-14,125805.0
2022-05-15,106633.0
2022-05-16,113886.0
2022-05-17,122954.0
2022-05-18,125687.0
2022-05-19,128777.0
2022-05-20,123896.0
2022-05-21,124071.0
2022-05-22,101488.0
2022-05-23,110461.0
2022-05-24,120596.0
2022-05-25,121986.0
2022-05-26,121296.0
2022-05-27,110473.0
2022-05-28,98828.0
