pickup_date,n_anomalies,avg_fare,avg_trip_distance,avg_trip_duration,total_trips
2022-11-28,170,10.441882352941176,2.1199999999999997,12.16578431372549,106488
2022-11-29,247,12.050607287449393,2.315384615384615,14.672334682860999,119372
2022-11-30,217,12.593087557603686,2.4059447004608296,15.268433179723502,117718
2022-12-01,234,12.887094017094016,2.428846153846154,16.58468660968661,130641
2022-12-02,261,11.902413793103449,2.3222605363984674,15.030459770114941,129951
2022-12-03,227,12.204405286343613,2.3562114537444936,14.787077826725403,129172
2022-12-04,180,11.999777777777778,2.5327777777777776,13.002685185185184,111619
2022-12-05,167,12.092634730538922,2.3358682634730537,14.254191616766466,113626
2022-12-06,228,13.051666666666668,2.280438596491228,17.938669590643272,120179
2022-12-07,187,13.011497326203209,2.3619251336898395,17.690017825311944,125589
2022-12-08,258,12.854263565891474,2.3765891472868215,17.02764857881137,133862
2022-12-09,279,12.752078853046594,2.5288888888888885,16.243608124253285,135397
2022-12-10,236,12.472415254237287,2.4197881355932207,15.695197740112993,129278
2022-12-11,192,11.500677083333334,2.46875,13.367274305555554,107756
2022-12-12,209,11.925502392344496,2.4443062200956938,13.982695374800638,112374
2022-12-13,217,12.20147465437788,2.3537788018433177,15.137403993855607,124239
2022-12-14,214,12.91943925233645,2.5622429906542057,16.494158878504674,129324
2022-12-15,228,12.624649122807018,2.2639473684210523,16.45263157894737,131175
2022-12-16,229,11.88995633187773,2.314541484716157,14.927729257641921,127755
2022-12-17,181,12.482983425414366,2.347292817679558,15.420902394106815,125382
2022-12-18,110,13.192818181818183,2.9856363636363636,14.04621212121212,102878
2022-12-19,198,14.835858585858587,2.432272727272727,13.174915824915825,112460
2022-12-20,224,14.817499999999999,2.160669642857143,14.410714285714286,116021
2022-12-21,189,14.498571428571429,2.1897883597883596,13.542239858906525,113560
2022-12-22,153,14.98248366013072,2.2575816993464053,13.568518518518518,102850
2022-12-23,201,13.744477611940297,2.1023880597014926,12.3393864013267,95028
2022-12-24,101,13.145445544554455,2.105346534653465,10.91188118811881,75519
2022-12-25,80,14.255375,2.3428750000000003,11.727916666666667,50109
2022-12-26,99,14.03131313131313,1.937171717171717,12.415656565656567,67459
2022-12-27,154,16.75642857142857,2.5196103896103894,14.383333333333333,86290
2022-12-28,146,15.006643835616437,2.163904109589041,14.26187214611872,89065
2022-12-29,163,16.250920245398774,2.5504907975460123,15.249693251533742,93498
2022-12-30,139,15.89568345323741,2.488057553956834,14.095083932853717,92429
2022-12-31,121,14.127272727272729,2.3923140495867767,11.09504132231405,85100
2023-01-01,108,16.12462962962963,2.7127777777777777,13.59783950617284,76757
2023-01-02,94,14.654255319148936,2.583723404255319,11.610815602836878,65777
2023-01-03,142,13.53330985915493,2.1430281690140847,11.464553990610328,85783
2023-01-04,161,14.528944099378881,2.1254037267080745,12.691097308488613,95092
2023-01-05,196,13.14607142857143,1.9900510204081634,11.614200680272107,101063
2023-01-06,164,14.21920731707317,2.230548780487805,12.626829268292685,102550
2023-01-07,161,15.057701863354037,2.598757763975155,11.770703933747411,105036
2023-01-08,158,14.024683544303798,2.382658227848101,11.766033755274261,85056
2023-01-09,159,14.667044025157232,2.4333962264150943,12.256603773584905,85349
2023-01-10,158,14.568987341772152,2.3301898734177215,12.738291139240507,99916
2023-01-11,140,13.823142857142857,2.180428571428571,11.969166666666666,106118
2023-01-12,184,14.329076086956523,2.107119565217391,12.840579710144926,111386
2023-01-13,178,15.067078651685394,2.331797752808989,13.561891385767792,110719
2023-01-14,206,13.674368932038835,2.1841747572815535,11.653236245954693,112950
2023-01-15,156,15.166730769230767,2.5481410256410255,12.277670940170939,96844
2023-01-16,108,14.910833333333333,2.5790740740740743,12.376543209876544,80120
2023-01-17,131,15.176870229007633,2.314732824427481,12.972773536895675,101052
2023-01-18,183,14.11032786885246,2.1776502732240437,12.54990892531876,106152
2023-01-19,196,13.865255102040818,1.9667346938775512,13.031207482993198,114603
2023-01-20,198,16.41459595959596,2.5214646464646466,13.71691919191919,109444
2023-01-21,182,14.181868131868132,2.2555494505494504,12.188919413919413,111999
2023-01-22,141,14.583262411347516,2.358936170212766,11.392316784869976,89651
2023-01-23,134,13.105671641791046,1.9958955223880597,11.18992537313433,89791
2023-01-24,214,13.849719626168225,2.076588785046729,12.531230529595016,103858
2023-01-25,175,12.776685714285716,1.7575999999999998,11.148761904761905,109196
2023-01-26,242,13.389793388429752,1.9801239669421487,12.189462809917355,114877
2023-01-27,175,15.044114285714285,2.3872,12.93247619047619,111668
2023-01-28,196,15.614030612244898,2.464438775510204,14.052210884353741,111645
2023-01-29,138,13.525507246376812,2.2442028985507245,11.15205314009662,88131
2023-01-30,119,13.06890756302521,1.9820168067226889,11.792016806722689,83768
2023-01-31,154,14.652337662337663,2.0304545454545453,13.63365800865801,100380
2023-02-01,205,13.591073170731708,2.1194146341463416,11.789105691056912,107780
2023-02-02,223,15.56286995515695,2.4120627802690584,13.423692077727951,113074
2023-02-03,202,13.914158415841584,2.1244059405940594,13.006105610561056,115149
2023-02-04,135,12.912740740740741,1.994,11.184691358024692,98236
2023-02-05,127,15.081259842519685,2.5232283464566927,12.763254593175853,84099
2023-02-06,166,14.257409638554217,2.3315060240963854,11.631224899598394,91046
2023-02-07,155,15.54458064516129,2.462,14.181290322580644,106097
2023-02-08,156,14.92852564102564,2.2614102564102567,13.880876068376068,108397
2023-02-09,206,14.675970873786408,2.2009223300970873,13.802427184466021,115122
2023-02-10,165,15.362,2.3323030303030303,13.85,114361
2023-02-11,168,14.856904761904762,2.226607142857143,13.827380952380953,114484
2023-02-12,127,14.405039370078741,2.4849606299212597,12.05787401574803,94403
2023-02-13,161,14.119192546583852,2.3427329192546584,11.681469979296066,92981
2023-02-14,184,15.699782608695653,2.37179347826087,15.410688405797101,108344
2023-02-15,185,14.967243243243244,2.337945945945946,12.834144144144144,110638
2023-02-16,208,15.23216346153846,2.296826923076923,14.214342948717949,112816
2023-02-17,169,14.392662721893492,2.13301775147929,13.336785009861932,111745
2023-02-18,174,14.319827586206896,2.277068965517241,12.601149425287355,105272
2023-02-19,155,16.137354838709676,2.713806451612903,13.2447311827957,90018
2023-02-20,113,13.084424778761061,2.208407079646018,10.634365781710915,79583
2023-02-21,134,14.726791044776121,2.341492537313433,13.091542288557214,99877
2023-02-22,207,14.384830917874396,2.0942512077294686,13.58268921095008,110874
2023-02-23,172,14.298372093023257,2.1036627906976744,13.027131782945736,115242
2023-02-24,166,14.65957831325301,2.206265060240964,13.685441767068273,115492
2023-02-25,194,14.988144329896906,2.3978865979381445,13.30085910652921,113591
2023-02-26,115,14.448695652173912,2.382434782608696,11.850289855072463,91145
2023-02-27,172,13.392674418604651,2.0230232558139534,12.087693798449614,92992
2023-02-28,199,13.824824120603015,2.10678391959799,12.621273031825796,101145
2023-03-01,220,14.667045454545455,2.1347272727272726,13.144772727272727,115297
2023-03-02,213,14.504460093896713,2.0260093896713616,13.301956181533646,118944
2023-03-03,208,13.867836538461539,2.1002403846153848,13.374839743589744,116428
2023-03-04,212,15.338584905660378,2.451320754716981,13.199371069182389,113201
2023-03-05,148,14.558175675675676,2.443310810810811,12.301576576576576,97012
2023-03-06,148,14.356756756756758,2.165608108108108,13.036824324324325,93563
