ds,y,prediction_5,prediction,prediction_95
2020-11-19,61125.0,55375.94813883569,65066.287615131805,72835.2762970848
2020-11-20,61903.0,54000.730983640955,62292.37198986814,73299.24973809657
2020-11-21,48758.0,42846.97988824903,53491.073899454685,62127.38565606698
2020-11-22,32720.0,28535.026233899527,39448.55224552117,45827.30610772673
2020-11-23,52550.0,36448.05738894188,48732.62000621849,57594.78951998444
2020-11-24,56335.0,46201.483430228036,56440.94683769559,67278.50373608927
2020-11-25,51859.0,48682.02254496819,57590.425391453435,66078.84275008552
2020-11-26,24923.0,48193.123120242,57700.90691292123,69405.97397190977
2020-11-27,34264.0,34801.525612984566,45682.63686285879,55814.097693029806
2020-11-28,35806.0,22762.16594056129,31022.49994259543,39107.73586251418
2020-11-29,31811.0,10074.04783326938,20176.764817213283,29756.787050548846
2020-11-30,45976.0,31178.976192134443,39359.64576278716,47758.78940891877
2020-12-01,54850.0,39690.28075464933,47727.82905700152,60568.69673550726
2020-12-02,55903.0,40209.42982551365,50221.13459806958,57645.879247168436
2020-12-03,56776.0,39351.91248613635,50396.07814751041,60462.9267623339
2020-12-04,57390.0,47805.400375725796,56898.402928970594,67195.93113878876
2020-12-05,42775.0,42599.41605895453,50309.4882210581,59106.28104608313
2020-12-06,37198.0,28309.34045206295,37132.782670368615,46594.14546331133
2020-12-07,50675.0,40306.86255580135,49920.890505393385,58019.06683069831
2020-12-08,56720.0,45230.379357084916,55965.41600483695,66499.96039003617
2020-12-09,57622.0,47669.391137860126,58014.9247384881,67161.68140662092
2020-12-10,59288.0,44220.195705550585,54519.576636536454,62558.67853865146
2020-12-11,61194.0,51397.50057450612,60284.27679272032,69796.15709176546
2020-12-12,46618.0,43345.52939446767,52218.64079667773,61978.825246451146
2020-12-13,38726.0,30685.946556950457,40390.110599009306,49240.02078676912
2020-12-14,51467.0,44202.16078059887,53383.68068713551,61727.139824583915
2020-12-15,60886.0,51700.908672409234,58901.17777299894,66096.07421069391
2020-12-16,50672.0,47594.99177859655,59448.09769181868,67984.15027402411
2020-12-17,26421.0,43712.986910460655,53257.284554915124,62880.09112688418
2020-12-18,59318.0,37662.53988573262,45631.087915644464,56023.56864325377
2020-12-19,44091.0,32450.24626917008,42256.87126530528,50573.87622163248
2020-12-20,31681.0,25358.188332076876,33637.14117126999,43999.67771406986
2020-12-21,51526.0,36688.468696581884,46183.735567423806,56349.96974782888
2020-12-22,56169.0,47685.78977701807,56276.398489404906,65618.72489539157
2020-12-23,56755.0,43530.68160686064,53201.29261237013,62023.71566400193
2020-12-24,44483.0,37080.16564760125,49754.34923110525,59612.09360977128
2020-12-25,19112.0,48046.54707430837,58691.615001063416,70952.48195737647
2020-12-26,28407.0,20820.998664528113,31896.994649267246,41016.010036532716
2020-12-27,25892.0,13557.097222900538,20392.025160893543,30741.946727829945
2020-12-28,40985.0,27037.79239517727,38941.40806646769,47836.216263777984
2020-12-29,45866.0,35903.21699689623,45720.379461604934,55887.27725702804
2020-12-30,47650.0,33803.60098807874,42666.81481839545,52129.24089883512
2020-12-31,44811.0,29166.67589438796,38194.789504023865,45765.53944681303
2021-01-01,24830.0,34443.462484095326,44085.899517067926,55099.805217330235
2021-01-02,34314.0,22063.699607706523,32663.962658714547,41034.321124473194
2021-01-03,26345.0,14939.50701507118,24819.23694249459,33975.02620440376
2021-01-04,44545.0,29699.80155039758,41735.963444437904,49138.036047413116
2021-01-05,46880.0,37873.544230429805,46187.722640164786,56694.92186108323
2021-01-06,49547.0,32488.32737562408,46230.2942128641,52864.996300538514
2021-01-07,50290.0,33182.93309670574,40885.41826818934,52136.40901347711
2021-01-08,50477.0,32782.056771623014,43120.62381056486,51954.629348882874
2021-01-09,39911.0,36861.177745047724,45876.49617329576,51779.376223940635
