ds,y,prediction_5,prediction,prediction_95
2021-03-29,58127.0,51903.961148152455,60692.29175372866,70067.63816740389
2021-03-30,66702.0,55962.641800614365,65059.116950005955,76645.3682029495
2021-03-31,67542.0,63736.462046588575,71732.32272559157,82484.7509771685
2021-04-01,72434.0,60849.08915819144,70714.92559691044,78340.33698298495
2021-04-02,72350.0,64823.0450834755,72838.65592577585,81171.94791316814
2021-04-03,61847.0,49806.52312629576,62044.932846942334,70355.63301524323
2021-04-04,46310.0,37210.269379167454,45522.90099685905,53778.77622589227
2021-04-05,62955.0,52852.881383019056,61666.79823772327,71005.07128491462
2021-04-06,70472.0,57725.93733647311,69495.7037213624,78750.35474056663
2021-04-07,74662.0,61530.71257164227,73335.0341223726,84876.51327458097
2021-04-08,77611.0,65358.65755805088,75656.94584891279,87599.78964916898
2021-04-09,78827.0,69182.82803471336,78214.37410407429,87316.75638373625
2021-04-10,68688.0,56699.80966997658,67126.5943450763,75842.65071833925
2021-04-11,47584.0,43398.39582612114,51209.68636580614,60165.75926273893
2021-04-12,70272.0,53373.415331881544,65865.17275968044,73040.90447406314
2021-04-13,74244.0,59784.649511912394,74806.0945998622,84618.79194671493
2021-04-14,77299.0,68059.30122285786,78596.80401209483,88264.3584192471
2021-04-15,80429.0,70810.9734342613,80313.8065848719,91286.18326813167
2021-04-16,82456.0,74155.85665632208,82371.05973561699,92056.25051269877
2021-04-17,74101.0,60023.5522000537,71798.97028068289,81253.66454260304
2021-04-18,54143.0,44826.88826538228,55778.44378489039,65509.60175309334
2021-04-19,67688.0,63936.019471864805,72761.75449282951,81253.74049765084
2021-04-20,78724.0,65694.2178597993,76983.11362431684,86881.92636043137
2021-04-21,79367.0,73080.27303004003,81444.18637358637,90163.13579902436
2021-04-22,84344.0,76200.07186695847,83777.45895617764,92118.66341131662
2021-04-23,84623.0,77933.89836138474,84721.36362442686,94688.87277797716
2021-04-24,78858.0,67067.23201887766,74545.5626671444,86258.70927918497
2021-04-25,49330.0,49469.08060035165,58822.355523068356,70538.50217867245
2021-04-26,70215.0,61973.071898880604,71146.48191266331,82229.94058735567
2021-04-27,76481.0,66508.3605870403,77785.51414709096,87820.45199496804
2021-04-28,83553.0,70761.09522642005,79865.01759000836,91645.43767034893
2021-04-29,82210.0,76107.03670974425,85009.42331494478,93828.24965792782
2021-04-30,89141.0,74975.97899240049,85145.54509650597,94944.05688199731
2021-05-01,80717.0,69218.37842735343,76738.78007905738,86435.14529136334
2021-05-02,60957.0,47790.116920196975,58363.93731371037,67072.56492659659
2021-05-03,75261.0,68020.61543983617,78218.48622766705,86628.23443575727
2021-05-04,80894.0,74114.60718697622,83194.16361484613,93529.08182779665
2021-05-05,87029.0,74216.70486757172,87302.20100253893,98112.00286443309
2021-05-06,88472.0,73384.16396804994,87879.05885501512,97309.39173126855
2021-05-07,92383.0,83272.22349156388,91895.57345555413,102038.06670907895
2021-05-08,80021.0,71474.01410728946,82212.96795190134,92122.04556962432
2021-05-09,64461.0,52158.4145971786,60785.86118114613,70840.10105586078
2021-05-10,74390.0,70152.03505645283,78718.58734466115,90631.05814918492
2021-05-11,83498.0,74968.87882223305,83720.90243982074,96897.46582634887
2021-05-12,86867.0,79459.14056808718,88858.04551135964,97629.97434454612
2021-05-13,82527.0,80731.4335097625,89549.98892002154,98683.06044297216
2021-05-14,92518.0,78620.26053983245,89102.17125152785,100711.1603775233
2021-05-15,88865.0,71214.96532757916,80723.05782113038,89635.42010959232
2021-05-16,66387.0,57268.44799915598,64141.0779121837,73711.66466225495
2021-05-17,74097.0,72148.59363462999,80985.39970630343,89389.04030005418
2021-05-18,84772.0,75836.92657780205,86595.14415046186,95338.68967970514
2021-05-19,90733.0,80047.02581450043,89075.15626767921,101542.14815452458
2021-05-20,92695.0,79846.28562953383,90121.9333254513,100328.68160075489
2021-05-21,94927.0,85639.81081214585,95546.48457532922,105382.8197654261
2021-05-22,93359.0,76436.36734936247,86471.27211612929,97647.28471265962
2021-05-23,71494.0,59428.3463899243,69993.11393721035,76934.48502337676
2021-05-24,81403.0,74781.98713946203,83568.49512017905,93527.89888668882
2021-05-25,88685.0,81280.81624385767,91012.75607819759,100372.42878188341
2021-05-26,93364.0,87389.92118452198,94597.06463616749,105979.33254113414
2021-05-27,92466.0,85925.47365629513,94824.91948300286,104363.19001560807
2021-05-28,87929.0,88089.72439772768,99728.11808419196,107991.10204081524
2021-05-29,64946.0,77062.68363961612,88119.90064441624,99981.51762680223
2021-05-30,54240.0,48025.27085791352,60032.75500009376,68629.3954056028
2021-05-31,56720.0,57451.54439008084,70406.00232664679,79494.76913238394
2021-06-01,86021.0,66030.49534644013,74231.40944011827,84280.26206210756
2021-06-02,92571.0,72670.84826472009,82452.86910828673,92901.4681710769
2021-06-03,96504.0,78026.84779225984,86541.38366449163,94562.37125627656
2021-06-04,95589.0,83366.14711001753,93666.24977696105,103348.51849650807
2021-06-05,97983.0,74091.2186121716,85029.9110375365,92451.98785962477
2021-06-06,77634.0,62383.29296809935,70787.89140411012,79605.26927871184
2021-06-07,88869.0,73460.45505173552,83274.77944905253,92154.30384813187
2021-06-08,94675.0,88946.45414549457,98256.5701862083,108954.50442557565
2021-06-09,99484.0,93625.20857069314,101588.31752544353,112405.49529759069
2021-06-10,103982.0,94239.34140769018,102196.84264374274,109600.80370756751
2021-06-11,98321.0,92264.4698443848,104917.79398854979,116276.65887987813
2021-06-12,93963.0,83970.70234327608,94056.6712542658,102147.34280594964
2021-06-13,73784.0,65536.08859595166,74450.36872610076,84671.35357119354
2021-06-14,86939.0,75800.10202556066,86426.83657115855,95562.89219392455
2021-06-15,98038.0,83667.15119917321,97691.78367147612,106138.12677779209
2021-06-16,102175.0,92201.1848182821,101869.0590625517,113527.87526704927
2021-06-17,102964.0,92532.26277899642,102741.57969228056,113706.69102564505
2021-06-18,98994.0,92701.27081731305,104000.68007986163,117148.00263180475
2021-06-19,96406.0,81876.14380308714,95192.78433496013,102401.34006610047
2021-06-20,77945.0,65745.04111639236,76657.97135498907,86503.94664009618
2021-06-21,90870.0,76140.81294893658,87745.92451537747,98203.28203020705
2021-06-22,99019.0,90612.1315580516,100099.5783057642,107994.68120589551
2021-06-23,102895.0,94321.924324732,105416.01062482901,114279.26457086513
2021-06-24,104639.0,95538.28872542258,105552.24432954166,112203.69699457736
2021-06-25,103294.0,95821.66406964294,104867.42413411576,114810.2156089834
2021-06-26,98690.0,87688.59921066892,98035.84485857876,106480.19437771758
2021-06-27,77379.0,69679.76621548332,79793.3196621743,89078.35579169425
2021-06-28,91543.0,81025.87057720643,89715.09449637748,97044.2742669435
2021-06-29,101112.0,91568.4234473588,101418.5667852987,110355.33495013349
2021-06-30,101923.0,94812.41850372069,105549.83266601786,115130.75334638788
2021-07-01,93848.0,97578.26590617048,106364.14974615455,116098.00352778903
2021-07-02,87546.0,90376.32913401509,101848.66828806653,111426.54892338428
2021-07-03,71122.0,83183.92756591104,90585.81091950081,102709.54658113854
2021-07-04,60544.0,54224.87696380427,65022.9085761812,76241.8983459369
2021-07-05,64728.0,65906.62977929333,76105.57988907472,88304.82224958346
2021-07-06,89457.0,67509.64474284538,82007.56169136308,91995.19437161642
2021-07-07,97200.0,81517.8839966591,87847.44362846935,100746.67455547144
2021-07-08,94581.0,76812.83215020032,90565.04276131862,101212.32325876768
2021-07-09,93585.0,82045.29757482764,92081.19174492921,99434.13748782274
2021-07-10,93833.0,76153.89310749446,84283.11989011308,94247.35727562026
2021-07-11,75946.0,56330.74821726747,70640.8961102704,81445.6573682418
2021-07-12,84894.0,75573.15703395291,83055.5204666759,92853.88449015857
2021-07-13,96611.0,88592.82063255446,98084.14269057769,108278.14035348699
2021-07-14,104639.0,92393.52013017244,101478.93854919233,112726.94640350674
2021-07-15,106008.0,96153.15760818364,103452.41569752138,110381.69008486485
2021-07-16,102924.0,91844.65273751052,102091.25432243492,113131.6153581208
2021-07-17,95242.0,88959.60269899962,97718.16905736111,106751.57463007295
2021-07-18,77384.0,70202.23880557131,78998.1859092718,86728.66296108687
2021-07-19,88980.0,77495.09615427935,87420.58331334675,98220.52809720613
2021-07-20,92433.0,94972.17168969336,102343.4587352184,111956.19269680881
2021-07-21,98271.0,97026.58059524382,103452.82923822172,113431.27338627503
2021-07-22,103940.0,90612.86700710774,101906.31026047634,110402.34872338522
2021-07-23,99049.0,89515.1503365029,100609.31577794866,109700.47127702936
2021-07-24,93266.0,83611.92799325788,93515.86501621222,104873.93806667019
2021-07-25,75580.0,66183.8217487168,76935.16184831446,89931.17499026988
2021-07-26,89132.0,78922.38698731016,85061.36769183274,97027.44931106133
2021-07-27,99360.0,88156.69270374706,98538.579060787,110568.90995560492
2021-07-28,99702.0,95129.636098487,104133.65760297478,113330.42821396118
2021-07-29,99762.0,93186.03977666423,104265.59592853836,111789.21465751121
2021-07-30,99162.0,89394.40197147585,99547.84455307433,108522.46000096986
2021-07-31,93384.0,83508.99833565399,93849.16978992496,100252.20062321256
2021-08-01,73086.0,68308.0982497486,76518.26492091763,83681.23319016425
2021-08-02,83305.0,77222.10914539418,86523.65755858136,95167.36900883632
2021-08-03,93910.0,86627.77046345123,96361.22464482888,105885.03025194933
2021-08-04,97778.0,89289.04847867062,99493.9720623102,108647.23601270394
2021-08-05,99331.0,88805.64685621065,100647.19315093706,108350.33155311865
2021-08-06,97852.0,89255.4305624528,98335.15858016018,108962.74997336988
2021-08-07,90630.0,80856.57135735874,91967.37784457632,100575.19807860254
2021-08-08,74449.0,65476.075574961964,73660.69049593243,82783.2461909052
2021-08-09,83049.0,76964.80554728962,85620.87682782588,93862.45680949012
2021-08-10,96402.0,86544.38801843897,95626.94987685824,105500.83203548519
2021-08-11,100816.0,90224.3426240332,101748.52091678235,111386.74186207594
2021-08-12,99203.0,90809.36600490492,102851.9398300499,111360.66390950319
2021-08-13,99126.0,89479.45774100856,98712.66579586809,109420.8548810232
2021-08-14,91550.0,85875.54063595006,93911.79789946924,108713.12866883285
2021-08-15,76813.0,63963.237698500816,74593.6953109563,83947.28929074017
2021-08-16,82197.0,77752.30708259648,86791.58645839043,94954.0909956868
2021-08-17,91749.0,87316.89450442437,95862.33067365635,105816.70658735506
2021-08-18,95926.0,90650.3437223813,99593.1321380451,105875.32253909006
2021-08-19,99488.0,90170.5481182668,99298.75162579877,106701.85420453057
2021-08-20,99268.0,86360.9778741368,97231.12453407532,106863.92787654474
2021-08-21,98613.0,81984.93894773725,91395.373020912,101895.38646992794
2021-08-22,53247.0,65850.20101749984,76564.97555862358,85638.01125348224
2021-08-23,80802.0,69517.28093959857,78803.13948732553,88739.22090802998
